# 한글 음절 ↔ 폰트 슬롯 대응표 (재작업용)

폰트: 0x305274, 글리프 18바이트(12x12, 행당 12비트 패킹)
매핑 테이블: 0x30D6CE (u16 SJIS 오름차순 1869개, 이진탐색)
글리프 주소 = 0x305274 + slot*18,  코드 = table[slot]

가	slot=71	sjis=82A0
각	slot=218	sjis=88A2
간	slot=219	sjis=88A4
갈	slot=220	sjis=88A5
감	slot=221	sjis=88A9
갑	slot=222	sjis=88AB
값	slot=223	sjis=88AC
갔	slot=224	sjis=88B0
강	slot=72	sjis=82A2
갖	slot=225	sjis=88B3
같	slot=226	sjis=88B4
갚	slot=227	sjis=88B5
개	slot=228	sjis=88C0
객	slot=229	sjis=88C1
거	slot=230	sjis=88C3
건	slot=231	sjis=88C4
걸	slot=232	sjis=88C5
검	slot=233	sjis=88C8
겁	slot=234	sjis=88C9
것	slot=235	sjis=88CA
게	slot=73	sjis=82A4
겠	slot=236	sjis=88CB
겨	slot=237	sjis=88CD
격	slot=238	sjis=88CE
견	slot=239	sjis=88CF
결	slot=240	sjis=88D0
겸	slot=241	sjis=88D2
겼	slot=242	sjis=88D3
경	slot=74	sjis=82A6
계	slot=243	sjis=88D5
고	slot=75	sjis=82A8
곡	slot=244	sjis=88D7
곤	slot=245	sjis=88D8
골	slot=246	sjis=88D9
곰	slot=247	sjis=88DA
곳	slot=248	sjis=88DF
공	slot=76	sjis=82A9
과	slot=77	sjis=82AA
관	slot=249	sjis=88E0
괄	slot=250	sjis=88E1
광	slot=251	sjis=88E2
괘	slot=252	sjis=88E3
괜	slot=253	sjis=88E4
괴	slot=254	sjis=88E6
굉	slot=255	sjis=88E7
교	slot=256	sjis=88E9
구	slot=78	sjis=82AB
국	slot=79	sjis=82AC
군	slot=80	sjis=82AD
굳	slot=257	sjis=88EA
굴	slot=258	sjis=88ED
궁	slot=259	sjis=88EE
권	slot=260	sjis=88F3
귀	slot=261	sjis=88F5
규	slot=262	sjis=88F6
균	slot=263	sjis=88F7
그	slot=264	sjis=88F8
극	slot=265	sjis=88F9
근	slot=266	sjis=88FA
글	slot=267	sjis=88FB
금	slot=268	sjis=8940
급	slot=269	sjis=8941
긋	slot=270	sjis=8942
기	slot=81	sjis=82AE
긴	slot=271	sjis=8945
길	slot=272	sjis=8946
깃	slot=273	sjis=8948
깊	slot=274	sjis=894A
까	slot=275	sjis=894B
깜	slot=276	sjis=894C
깨	slot=277	sjis=894F
꺼	slot=278	sjis=8950
꺾	slot=279	sjis=8951
께	slot=280	sjis=8953
꼽	slot=281	sjis=8958
꽂	slot=282	sjis=8959
꽃	slot=283	sjis=895C
꽉	slot=284	sjis=895E
꾀	slot=285	sjis=895F
꾸	slot=286	sjis=8960
꿀	slot=287	sjis=8962
꿈	slot=288	sjis=8963
꿔	slot=289	sjis=8965
뀐	slot=290	sjis=8967
끄	slot=291	sjis=8968
끈	slot=292	sjis=8969
끊	slot=293	sjis=8970
끌	slot=294	sjis=8971
끗	slot=295	sjis=8975
끝	slot=296	sjis=8976
끼	slot=297	sjis=8978
나	slot=82	sjis=82AF
낙	slot=298	sjis=897A
난	slot=299	sjis=897B
